Pw_cl_graph_470000_2.2_9: nnz= 2485934, density= 1.6176074764923835e-05
Pw_cl_graph_480000_2.2_0: nnz= 2541140, density= 1.5790407837214246e-05
Pw_cl_graph_480000_2.2_1: nnz= 2531484, density= 1.5801226729233702e-05
Pw_cl_graph_480000_2.2_2: nnz= 2531536, density= 1.5807632707436373e-05
Pw_cl_graph_480000_2.2_3: nnz= 2554638, density= 1.590876596061086e-05
Pw_cl_graph_480000_2.2_4: nnz= 2507182, density= 1.5599765927774025e-05
Pw_cl_graph_480000_2.2_5: nnz= 2517460, density= 1.5606282892940297e-05
Pw_cl_graph_480000_2.2_6: nnz= 2434568, density= 1.5223889293547167e-05
Pw_cl_graph_480000_2.2_7: nnz= 2534630, density= 1.581019694362398e-05
Pw_cl_graph_480000_2.2_8: nnz= 2520042, density= 1.5764841606287665e-05
Pw_cl_graph_480000_2.2_9: nnz= 2495298, density= 1.5575591435304142e-05
Pw_cl_graph_490000_2.2_0: nnz= 2564852, density= 1.5028591468878231e-05
Pw_cl_graph_490000_2.2_1: nnz= 2589780, density= 1.5521892394044697e-05
Pw_cl_graph_490000_2.2_2: nnz= 2588790, density= 1.5522494406531945e-05
Pw_cl_graph_490000_2.2_3: nnz= 2517644, density= 1.5089691765689145e-05
Pw_cl_graph_490000_2.2_4: nnz= 2523236, density= 1.5102495532456091e-05
Pw_cl_graph_490000_2.2_5: nnz= 2518972, density= 1.5087676510585076e-05
Pw_cl_graph_490000_2.2_6: nnz= 2461934, density= 1.3958735379499188e-05
Pw_cl_graph_490000_2.2_7: nnz= 2438818, density= 1.3532975978146526e-05
Pw_cl_graph_490000_2.2_8: nnz= 2501564, density= 1.5009993621884957e-05
Pw_cl_graph_490000_2.2_9: nnz= 2501842, density= 1.5030874918564908e-05
