Pw_cl_graph_380000_1.8_5: nnz= 6649146, density= 5.984243368480753e-05
Pw_cl_graph_380000_1.8_6: nnz= 1251220, density= 8.691699133782156e-06
Pw_cl_graph_380000_1.8_7: nnz= 3651058, density= 2.980438479102728e-05
Pw_cl_graph_380000_1.8_8: nnz= 4907960, density= 3.942819834486863e-05
Pw_cl_graph_380000_1.8_9: nnz= 3968266, density= 3.14250454826007e-05
Pw_cl_graph_390000_1.8_0: nnz= 5913936, density= 4.898853907229007e-05
Pw_cl_graph_390000_1.8_1: nnz= 5135308, density= 4.238365192821559e-05
Pw_cl_graph_390000_1.8_2: nnz= 6587890, density= 5.613975377690795e-05
Pw_cl_graph_390000_1.8_3: nnz= 3103912, density= 2.1177283338069923e-05
Pw_cl_graph_390000_1.8_4: nnz= 4401856, density= 3.312620329313728e-05
Pw_cl_graph_390000_1.8_5: nnz= 5571066, density= 4.64229130237972e-05
Pw_cl_graph_390000_1.8_6: nnz= 3700116, density= 2.6126701462070016e-05
Pw_cl_graph_390000_1.8_7: nnz= 5703938, density= 4.7197642981044664e-05
Pw_cl_graph_390000_1.8_8: nnz= 4906990, density= 3.974145767638939e-05
Pw_cl_graph_390000_1.8_9: nnz= 5858156, density= 4.852648119586862e-05
Pw_cl_graph_400000_1.8_0: nnz= 5655630, density= 4.4626286887317216e-05
Pw_cl_graph_400000_1.8_1: nnz= 5767066, density= 4.543306481383689e-05
Pw_cl_graph_400000_1.8_2: nnz= 6182334, density= 4.957341075536054e-05
Pw_cl_graph_400000_1.8_3: nnz= 4789650, density= 3.515045695018377e-05
Pw_cl_graph_400000_1.8_4: nnz= 6011622, density= 4.746166949780204e-05
Pw_cl_graph_400000_1.8_5: nnz= 4777636, density= 3.531651171765241e-05
Pw_cl_graph_400000_1.8_6: nnz= 3600382, density= 2.4293259130548493e-05
Pw_cl_graph_400000_1.8_7: nnz= 1804908, density= 1.2529415435573576e-05
Pw_cl_graph_400000_1.8_8: nnz= 6195098, density= 4.9390873893244396e-05
Pw_cl_graph_400000_1.8_9: nnz= 7952186, density= 6.49926583781925e-05
Pw_cl_graph_410000_1.8_0: nnz= 3523596, density= 2.2269534520829623e-05
Pw_cl_graph_410000_1.8_1: nnz= 4731252, density= 3.192403614228898e-05
Pw_cl_graph_410000_1.8_2: nnz= 7396238, density= 5.705991024667222e-05
Pw_cl_graph_410000_1.8_3: nnz= 5605042, density= 4.140346295145592e-05
Pw_cl_graph_410000_1.8_4: nnz= 5641204, density= 4.254578073190901e-05
Pw_cl_graph_410000_1.8_5: nnz= 6238960, density= 4.686131412107198e-05
Pw_cl_graph_410000_1.8_6: nnz= 2914070, density= 1.8043653702028174e-05
Pw_cl_graph_410000_1.8_7: nnz= 5860188, density= 4.43002157457491e-05
Pw_cl_graph_410000_1.8_8: nnz= 7477976, density= 5.7913550582597166e-05
Pw_cl_graph_410000_1.8_9: nnz= 1974610, density= 1.2651500052410403e-05
Pw_cl_graph_420000_1.8_0: nnz= 6183618, density= 4.404001415254767e-05
Pw_cl_graph_420000_1.8_1: nnz= 5216130, density= 3.485178572356574e-05
Pw_cl_graph_420000_1.8_2: nnz= 6644766, density= 4.861065282308274e-05
Pw_cl_graph_420000_1.8_3: nnz= 6388798, density= 4.564860266097525e-05
Pw_cl_graph_420000_1.8_4: nnz= 7030044, density= 5.08053588130502e-05
Pw_cl_graph_420000_1.8_5: nnz= 6228574, density= 4.5009592778731776e-05
Pw_cl_graph_420000_1.8_6: nnz= 6064786, density= 4.093564199291283e-05
Pw_cl_graph_420000_1.8_7: nnz= 5283864, density= 3.702572714716706e-05
Pw_cl_graph_420000_1.8_8: nnz= 4636178, density= 3.0792515137770886e-05
Pw_cl_graph_420000_1.8_9: nnz= 4201298, density= 2.8490094883782126e-05
Pw_cl_graph_430000_1.8_0: nnz= 5126766, density= 3.4169852339540226e-05
Pw_cl_graph_430000_1.8_1: nnz= 5972390, density= 3.988517680712334e-05
Pw_cl_graph_430000_1.8_2: nnz= 7126210, density= 4.9207937650008017e-05
Pw_cl_graph_430000_1.8_3: nnz= 7475120, density= 5.2147010909677384e-05
Pw_cl_graph_430000_1.8_4: nnz= 2361910, density= 1.4278723115037788e-05
Pw_cl_graph_430000_1.8_5: nnz= 2745098, density= 1.5263786084148166e-05
Pw_cl_graph_430000_1.8_6: nnz= 7606710, density= 5.3311684436654906e-05
