Pw_cl_graph_340000_8_0: nnz= 5439778, density= 4.705690311418685e-05
Pw_cl_graph_340000_8_1: nnz= 5439762, density= 4.7056764705882355e-05
Pw_cl_graph_340000_8_2: nnz= 5439790, density= 4.705700692041522e-05
Pw_cl_graph_340000_8_3: nnz= 5439782, density= 4.7056937716262974e-05
Pw_cl_graph_340000_8_4: nnz= 5439794, density= 4.705704152249135e-05
Pw_cl_graph_340000_8_5: nnz= 5439790, density= 4.705700692041522e-05
Pw_cl_graph_340000_8_6: nnz= 5439792, density= 4.705702422145329e-05
Pw_cl_graph_340000_8_7: nnz= 5439784, density= 4.705695501730104e-05
Pw_cl_graph_340000_8_8: nnz= 5439770, density= 4.7056833910034604e-05
Pw_cl_graph_340000_8_9: nnz= 5439784, density= 4.705695501730104e-05
Pw_cl_graph_340000_10_0: nnz= 6799660, density= 5.8820588235294116e-05
Pw_cl_graph_340000_10_1: nnz= 6799638, density= 5.882039792387543e-05
Pw_cl_graph_340000_10_2: nnz= 6799662, density= 5.882060553633218e-05
Pw_cl_graph_340000_10_3: nnz= 6799622, density= 5.8820259515570935e-05
Pw_cl_graph_340000_10_4: nnz= 6799674, density= 5.8820709342560556e-05
Pw_cl_graph_340000_10_5: nnz= 6799644, density= 5.882044982698962e-05
Pw_cl_graph_340000_10_6: nnz= 6799654, density= 5.882053633217993e-05
Pw_cl_graph_340000_10_7: nnz= 6799654, density= 5.882053633217993e-05
Pw_cl_graph_340000_10_8: nnz= 6799632, density= 5.882034602076125e-05
Pw_cl_graph_340000_10_9: nnz= 6799642, density= 5.8820432525951554e-05
Pw_cl_graph_350000_2_0: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_2_1: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_2_2: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_2_3: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_2_4: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_2_5: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_2_6: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_2_7: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_2_8: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_2_9: nnz= 1399992, density= 1.1428506122448979e-05
Pw_cl_graph_350000_4_0: nnz= 2799956, density= 2.285678367346939e-05
Pw_cl_graph_350000_4_1: nnz= 2799954, density= 2.2856767346938777e-05
Pw_cl_graph_350000_4_2: nnz= 2799952, density= 2.2856751020408165e-05
Pw_cl_graph_350000_4_3: nnz= 2799958, density= 2.28568e-05
Pw_cl_graph_350000_4_4: nnz= 2799954, density= 2.2856767346938777e-05
Pw_cl_graph_350000_4_5: nnz= 2799956, density= 2.285678367346939e-05
Pw_cl_graph_350000_4_6: nnz= 2799958, density= 2.28568e-05
Pw_cl_graph_350000_4_7: nnz= 2799952, density= 2.2856751020408165e-05
Pw_cl_graph_350000_4_8: nnz= 2799946, density= 2.2856702040816325e-05
Pw_cl_graph_350000_4_9: nnz= 2799948, density= 2.2856718367346937e-05
Pw_cl_graph_350000_6_0: nnz= 4199878, density= 3.428471836734694e-05
Pw_cl_graph_350000_6_1: nnz= 4199880, density= 3.428473469387755e-05
Pw_cl_graph_350000_6_2: nnz= 4199878, density= 3.428471836734694e-05
Pw_cl_graph_350000_6_3: nnz= 4199876, density= 3.428470204081633e-05
Pw_cl_graph_350000_6_4: nnz= 4199880, density= 3.428473469387755e-05
Pw_cl_graph_350000_6_5: nnz= 4199886, density= 3.4284783673469385e-05
Pw_cl_graph_350000_6_6: nnz= 4199880, density= 3.428473469387755e-05
Pw_cl_graph_350000_6_7: nnz= 4199880, density= 3.428473469387755e-05
Pw_cl_graph_350000_6_8: nnz= 4199886, density= 3.4284783673469385e-05
Pw_cl_graph_350000_6_9: nnz= 4199890, density= 3.428481632653061e-05
Pw_cl_graph_350000_8_0: nnz= 5599788, density= 4.5712555102040816e-05
Pw_cl_graph_350000_8_1: nnz= 5599768, density= 4.5712391836734695e-05
Pw_cl_graph_350000_8_2: nnz= 5599750, density= 4.571224489795918e-05
Pw_cl_graph_350000_8_3: nnz= 5599798, density= 4.571263673469388e-05
Pw_cl_graph_350000_8_4: nnz= 5599788, density= 4.5712555102040816e-05
